temperature,light,feeding,treatment,rack,genotype,rep,ID,surface.area..cm2,displacement..ml,blastate..ml,cells.ml,chla..ug.ml,chlc2..ug.ml,afdw..g
High,High,Fed,HT.HL.HF,A,A,21,A21,15.3699115,11,37.5,481250,4.031,0.752,0.0107
High,High,Fed,HT.HL.HF,A,A,48,A48,17.2868755,12,27.5,1036666.667,6.146705833,1.3997775,0.0113
High,High,Fed,HT.HL.HF,A,B,98,B98,25.1068715,14,30,660833,3.302,0.571,0.0099
High,High,Fed,HT.HL.HF,A,B,100,B100,27.286277,14,35,728000,3.23548,0.6999325,0.0096
High,High,Fed,HT.HL.HF,A,C,13,C13,18.325231,10,22.5,219250,0.854,0.204,0.0092
High,High,Fed,HT.HL.HF,A,C,14,C14,18.3062135,10,17.5,233000,1.3,0.306,0.0081
High,High,Fed,HT.HL.HF,A,D,10,D10,21.383245,11,15,79722.22222,0.147,0.054,0.0087
High,High,Fed,HT.HL.HF,A,D,64,D64,31.4511095,15,17.5,103055.5556,0.207,0.064,0.01
High,High,Fed,HT.HL.HF,A,E,59,E59,38.7994715,15,40,1913750,4.675,0.697,0.0125
High,High,Fed,HT.HL.HF,A,E,69,E69,18.644725,10,30,1020000,3.287,0.574,0.0105
High,High,Fed,HT.HL.HF,A,F,18,F18,43.8961615,18,40,2235000,3.969,0.709,0.0132
High,High,Fed,HT.HL.HF,A,F,71,F71,12.1065085,7,20,1400000,2.637,0.581,0.0106
Ambient,High,Fed,AT.HL.HF,E,A,13,A13,18.3898905,10,20,1981666.667,8.750150833,1.72237,0.0119
Ambient,High,Fed,AT.HL.HF,E,A,18,A18,18.0703965,10,27.5,655000,7.311,1.557,0.0126
Ambient,High,Fed,AT.HL.HF,E,B,2,B2,26.1566375,13,25,1301666.667,7.176,1.122,0.0121
Ambient,High,Fed,AT.HL.HF,E,B,X2,BX2,9.851033,6,20,930833.3333,4.075075833,0.894845,0.0115
Ambient,High,Fed,AT.HL.HF,E,C,15,C15,32.2726655,16,25,2827500,10.63077,2.18938,0.014
Ambient,High,Fed,AT.HL.HF,E,C,X12,CX12,4.784771,6,12.5,642500,2.493,0.606,0.0114
Ambient,High,Fed,AT.HL.HF,E,D,11,D11,19.785775,11,17.5,1527500,6.5732875,0.8699625,0.0124
Ambient,High,Fed,AT.HL.HF,E,D,X12,DX12,25.057426,11,25,2623750,7.1279175,0.9223575,0.0118
Ambient,High,Fed,AT.HL.HF,E,E,9,E9,38.544637,16,22.5,4845000,10.245,1.891,0.014
Ambient,High,Fed,AT.HL.HF,E,E,71,E71,10.931227,7,15,1018333.333,5.064091667,0.847375,0.0098
Ambient,High,Fed,AT.HL.HF,E,F,25,F25,21.444101,11,20,2812500,7.502121667,1.2090575,0.0109
Ambient,High,Fed,AT.HL.HF,E,F,70,F70,10.931227,10,20,3010000,9.004871667,1.46447,0.0118
Ambient,High,Unfed,AT.HL.LF,F,A,8,A8,28.4007025,16,25,2395000,12.22665,1.8640375,0.0142
Ambient,High,Unfed,AT.HL.LF,F,A,41,A41,18.492585,10,32.5,1520000,6.398051667,1.364765,0.0101
Ambient,High,Unfed,AT.HL.LF,F,B,44,B44,23.0605885,11,30,1460000,6.154698333,1.101485,0.0103
